date,DWJZ,LJJZ,increase
2023-04-06,2.9723,2.9723,0.15
2023-04-04,2.9678,2.9678,-1.93
2023-04-03,3.0262,3.0262,0.26
2023-03-31,3.0184,3.0184,0.1
2023-03-30,3.0155,3.0155,0.78
2023-03-29,2.9923,2.9923,0.46
2023-03-28,2.9785,2.9785,-0.5
2023-03-27,2.9935,2.9935,0.56
2023-03-24,2.9769,2.9769,0.09
2023-03-23,2.9743,2.9743,-0.15
2023-03-22,2.9788,2.9788,0.38
2023-03-21,2.9674,2.9674,1.36
2023-03-20,2.9276,2.9276,0.66
2023-03-17,2.9083,2.9083,-0.44
2023-03-16,2.9212,2.9212,-2.13
2023-03-15,2.9849,2.9849,-0.66
2023-03-14,3.0047,3.0047,-0.97
2023-03-13,3.034,3.034,-0.95
2023-03-10,3.0632,3.0632,-1.19
2023-03-09,3.1001,3.1001,-0.13
2023-03-08,3.1041,3.1041,-0.32
2023-03-07,3.1141,3.1141,-1.28
2023-03-06,3.1544,3.1544,1.22
2023-03-03,3.1163,3.1163,0.17
2023-03-02,3.1109,3.1109,-1.43
2023-03-01,3.156,3.156,-0.01
2023-02-28,3.1563,3.1563,0.42
2023-02-27,3.1431,3.1431,-0.75
2023-02-24,3.1667,3.1667,-1.02
2023-02-23,3.1993,3.1993,0.67
2023-02-22,3.178,3.178,-0.88
2023-02-21,3.2061,3.2061,0.54
2023-02-20,3.189,3.189,0.5
2023-02-17,3.1731,3.1731,-1.94
2023-02-16,3.2359,3.2359,-1.39
2023-02-15,3.2815,3.2815,-0.71
2023-02-14,3.3049,3.3049,-0.23
2023-02-13,3.3126,3.3126,0.07
2023-02-10,3.3102,3.3102,-1.46
2023-02-09,3.3592,3.3592,0.83
2023-02-08,3.3315,3.3315,-0.25
2023-02-07,3.3399,3.3399,-0.31
2023-02-06,3.3504,3.3504,-1.28
2023-02-03,3.3939,3.3939,-1.16
2023-02-02,3.4339,3.4339,-0.84
2023-02-01,3.4631,3.4631,1.04
2023-01-31,3.4275,3.4275,-0.2
2023-01-30,3.4345,3.4345,2.44
2023-01-20,3.3527,3.3527,1.34
2023-01-19,3.3083,3.3083,-0.01
2023-01-18,3.3085,3.3085,0.29
2023-01-17,3.2988,3.2988,0.61
2023-01-16,3.2789,3.2789,-0.15
2023-01-13,3.2838,3.2838,0.09
2023-01-12,3.2807,3.2807,1.16
2023-01-11,3.243,3.243,-1.15
2023-01-10,3.2806,3.2806,0.84
2023-01-09,3.2532,3.2532,0.36
2023-01-06,3.2414,3.2414,1.86
2023-01-05,3.1821,3.1821,2.75
2023-01-04,3.0969,3.0969,-1.8
2023-01-03,3.1536,3.1536,0.9
2022-12-31,3.1253,3.1253,--
2022-12-30,3.1254,3.1254,-0.77
2022-12-29,3.1498,3.1498,0.15
2022-12-28,3.1451,3.1451,-1.11
2022-12-27,3.1805,3.1805,0.51
2022-12-26,3.1644,3.1644,3.72
2022-12-23,3.0509,3.0509,-1.34
2022-12-22,3.0922,3.0922,-1.65
2022-12-21,3.1441,3.1441,-0.87
2022-12-20,3.1717,3.1717,-1.24
2022-12-19,3.2114,3.2114,0.16
2022-12-16,3.2064,3.2064,-1.53
2022-12-15,3.2562,3.2562,2.16
2022-12-14,3.1875,3.1875,-0.74
2022-12-13,3.2114,3.2114,-1.67
2022-12-12,3.2659,3.2659,-0.49
2022-12-09,3.2821,3.2821,-0.44
2022-12-08,3.2966,3.2966,0.03
2022-12-07,3.2957,3.2957,1.48
2022-12-06,3.2477,3.2477,1.22
2022-12-05,3.2086,3.2086,-1.56
2022-12-02,3.2595,3.2595,0.29
2022-12-01,3.2502,3.2502,1.91
2022-11-30,3.1894,3.1894,1.23
2022-11-29,3.1507,3.1507,0.18
2022-11-28,3.145,3.145,-0.52
2022-11-25,3.1613,3.1613,-2.11
2022-11-24,3.2294,3.2294,0.19
2022-11-23,3.2234,3.2234,0.99
2022-11-22,3.1917,3.1917,-1.83
