rank,name,value,brand,prices,lastValue,month,
1,Model Y,65700,特斯拉中国,31.69 - 41.79,0,1
2,宏光MINIEV,59158,上汽通用五菱,3.28 - 9.99,0,1
3,Model 3,50660,特斯拉中国,26.67 - 33.99,0,1
4,秦PLUS,48043,比亚迪,11.18 - 17.58,0,1
5,宋PLUS新能源,43478,比亚迪,15.28 - 21.68,0,1
6,汉,22071,比亚迪,21.48 - 32.98,0,1
7,理想ONE,20682,理想,33.80 - 33.80,0,1
8,唐新能源,19486,比亚迪,20.58 - 33.98,0,1
9,海豚,19167,比亚迪,10.28 - 13.08,0,1
10,QQ冰淇淋,16426,奇瑞新能源,3.99 - 5.75,0,1
11,奔奔E-Star,15465,长安汽车,4.98 - 7.48,0,1
12,东风EV新能源EX1,14157,东风汽车,5.57 - 6.27,0,1
13,小蚂蚁,13147,奇瑞新能源,7.39 - 9.40,0,1
14,欧拉好猫,13086,长城新能源,12.99 - 17.10,0,1
15,元pro,11032,比亚迪,9.28 - 11.28,0,1
16,哪吒V,10555,合众汽车,7.99 - 12.38,0,1
17,小鹏P7,10244,小鹏汽车,23.99 - 28.59,0,1
18,赛那SIENNA,9419,广汽丰田,30.98 - 40.58,0,1
19,AION Y,9399,广汽埃安,13.76 - 20.26,0,1
20,蔚来ES6,8556,蔚来,36.80 - 55.40,0,1
21,皇冠陆放,8247,一汽丰田,27.58 - 35.28,0,1
22,花仙子,8027,江汽集团,6.69 - 9.09,0,1
23,零跑T03,7914,零跑汽车,7.39 - 8.99,0,1
24,哪吒U,7571,合众汽车,12.38 - 18.58,0,1
25,元PLUS,6517,比亚迪,13.78 - 16.58,0,1
26,ZEEKR 001,6446,极氪,29.90 - 38.60,0,1
27,凌宝BOX,6116,吉麦新能源,4.18 - 6.88,0,1
28,小鹏P5,6088,小鹏汽车,17.79 - 24.99,0,1
29,几何A,5777,几何汽车,12.68 - 20.78,0,1
30,东风风神E70,5694,东风乘用车,14.28 - 15.38,0,1
31,荣威Ei5,5457,上汽集团,13.98 - 15.38,0,1
32,ID.4 X,5445,上汽大众,18.93 - 28.63,0,1
33,帝豪新能源,5160,吉利新能源,13.58 - 16.18,0,1
34,启辰D60EV,5125,东风启辰,12.98 - 17.88,0,1
35,宝马5系新能源,4964,华晨宝马,49.99 - 53.69,0,1
36,蔚来EC6,4612,蔚来,37.80 - 55.40,0,1
